Oct 21 2019 6:12:57 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 22 2019 14:28:36 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lteng, IP = 10.1.10.15, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 22 2019 14:48:11 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gvoronoff, IP = 10.1.10.163, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 22 2019 14:59:2 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.3.10.21, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 22 2019 17:26:16 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = blu, IP = 10.1.10.100, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 22 2019 17:41:47 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ptoscani, IP = 10.1.10.38, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 22 2019 19:44:3 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pcallahan, IP = 10.1.10.98, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 23 2019 00:27:32 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lteng, IP = 10.1.10.15, Session disconnected. Session type = SSL, Duration = 9h:59m:29s, Bytes xmt: 19700377, Bytes rcv: 3020853, Reason: Connection Lost
Oct 23 2019 00:08:56 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gvoronoff, IP = 10.1.10.163, Session disconnected. Session type = IPsec, Duration = 9h:20m:53s, Bytes xmt: 17833782, Bytes rcv: 2389070, Reason: Connection Lost
Oct 23 2019 00:42:07 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.3.10.21, Session disconnected. Session type = SSL, Duration = 9h:43m:4s, Bytes xmt: 9810692, Bytes rcv: 1543870, Reason: Connection Lost
Oct 23 2019 02:05:34 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = blu, IP = 10.1.10.100, Session disconnected. Session type = IKE, Duration = 8h:39m:31s, Bytes xmt: 13831466, Bytes rcv: 2623662, Reason: Connection Lost
Oct 23 2019 02:48:25 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ptoscani, IP = 10.1.10.38, Session disconnected. Session type = IPsec, Duration = 9h:7m:22s, Bytes xmt: 15050337, Bytes rcv: 1056780, Reason: Connection Lost
Oct 23 2019 05:31:35 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pcallahan, IP = 10.1.10.98, Session disconnected. Session type = IPsec, Duration = 9h:47m:32s, Bytes xmt: 3720634, Bytes rcv: 630236, Reason: Connection Lost
Oct 23 2019 11:40:45 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = emaxwell, IP = 10.3.10.46, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 23 2019 16:43:4 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = acurry, IP = 10.1.10.252, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 23 2019 17:40:23 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = iking, IP = 10.1.10.201, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 23 2019 19:51:20 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = emaxwell, IP = 10.3.10.46, Session disconnected. Session type = IKE, Duration = 8h:11m:17s, Bytes xmt: 6854682, Bytes rcv: 1025839, Reason: Connection Lost
Oct 24 2019 01:57:51 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = iking, IP = 10.1.10.201, Session disconnected. Session type = TPsecOverNatT, Duration = 8h:17m:48s, Bytes xmt: 3778023, Bytes rcv: 71819, Reason: Connection Lost
Oct 24 2019 8:30:1 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = yowen, IP = 10.2.10.170, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 24 2019 13:38:18 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = acurry, IP = 10.1.10.252, Session disconnected. Session type = TPsecOverNatT, Duration = 20h:55m:15s, Bytes xmt: 18591287, Bytes rcv: 2366019, Reason: Connection Lost
Oct 24 2019 14:43:44 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = apucci, IP = 10.3.10.53, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 24 2019 16:26:15 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = adombrowski, IP = 10.1.10.129, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 24 2019 17:24:16 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = yowen, IP = 10.2.10.170, Session disconnected. Session type = IPsec, Duration = 8h:54m:13s, Bytes xmt: 14927790, Bytes rcv: 317647, Reason: Connection Lost
Oct 24 2019 16:54:57 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = djohnson, IP = 10.3.10.180, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 24 2019 16:58:56 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cfarrell, IP = 10.1.10.107, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 24 2019 19:58:36 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = myuan, IP = 10.1.10.172, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 25 2019 00:22:53 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = apucci, IP = 10.3.10.53, Session disconnected. Session type = IKE, Duration = 9h:39m:50s, Bytes xmt: 8425939, Bytes rcv: 755207, Reason: Connection Lost
Oct 25 2019 02:02:54 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = adombrowski, IP = 10.1.10.129, Session disconnected. Session type = SSL, Duration = 9h:36m:51s, Bytes xmt: 20285379, Bytes rcv: 3923500, Reason: Connection Lost
Oct 25 2019 01:20:09 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = djohnson, IP = 10.3.10.180, Session disconnected. Session type = SSL, Duration = 8h:26m:6s, Bytes xmt: 15237178, Bytes rcv: 3035022, Reason: Connection Lost
Oct 25 2019 01:54:53 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cfarrell, IP = 10.1.10.107, Session disconnected. Session type = IPsec, Duration = 8h:56m:50s, Bytes xmt: 19905978, Bytes rcv: 3158000, Reason: Connection Lost
Oct 25 2019 04:56:39 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = myuan, IP = 10.1.10.172, Session disconnected. Session type = SSL, Duration = 8h:58m:36s, Bytes xmt: 9812674, Bytes rcv: 787032, Reason: Connection Lost
Oct 25 2019 8:44:58 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fbryan, IP = 10.2.10.166, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 25 2019 14:43:44 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = dhale, IP = 10.3.10.241, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 25 2019 16:38:20 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kpercy, IP = 10.1.10.216, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 25 2019 18:29:14 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fbryan, IP = 10.2.10.166, Session disconnected. Session type = IPsec, Duration = 9h:45m:11s, Bytes xmt: 2276566, Bytes rcv: 434988, Reason: Connection Lost
Oct 25 2019 23:29:43 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = dhale, IP = 10.3.10.241, Session disconnected. Session type = TPsecOverNatT, Duration = 8h:46m:40s, Bytes xmt: 4579739, Bytes rcv: 546623, Reason: Connection Lost
Oct 26 2019 00:44:17 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kpercy, IP = 10.1.10.216, Session disconnected. Session type = SSL, Duration = 8h:6m:14s, Bytes xmt: 8708340, Bytes rcv: 46088, Reason: Connection Lost
Oct 28 2019 11:23:30 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = nsharpe, IP = 10.2.10.163, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 28 2019 14:41:9 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.3.10.21, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 28 2019 20:43:06 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = nsharpe, IP = 10.2.10.163, Session disconnected. Session type = IPsec, Duration = 9h:20m:3s, Bytes xmt: 19092069, Bytes rcv: 2861100, Reason: Connection Lost
Oct 28 2019 22:55:37 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.3.10.21, Session disconnected. Session type = SSL, Duration = 8h:14m:34s, Bytes xmt: 15065462, Bytes rcv: 1288371, Reason: Connection Lost
Oct 29 2019 9:51:19 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = yowen, IP = 10.2.10.170, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 29 2019 14:4:28 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lteng, IP = 10.1.10.15, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 29 2019 17:55:29 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = yowen, IP = 10.2.10.170, Session disconnected. Session type = IKE, Duration = 8h:4m:26s, Bytes xmt: 2178061, Bytes rcv: 288967, Reason: Connection Lost
Oct 29 2019 23:11:54 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lteng, IP = 10.1.10.15, Session disconnected. Session type = IKE, Duration = 9h:7m:51s, Bytes xmt: 14620257, Bytes rcv: 2917217, Reason: Connection Lost
Oct 30 2019 8:17:45 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = npearce, IP = 10.2.10.70, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 30 2019 14:18:12 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gzuyeva, IP = 10.3.10.67, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 30 2019 14:27:34 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbunch, IP = 10.3.10.227, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 30 2019 14:44:36 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = dhale, IP = 10.3.10.241, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 30 2019 16:20:30 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = npearce, IP = 10.2.10.70, Session disconnected. Session type = IKE, Duration = 8h:3m:27s, Bytes xmt: 7602724, Bytes rcv: 456661, Reason: Connection Lost
Oct 30 2019 16:31:42 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kpercy, IP = 10.1.10.216, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 30 2019 17:37:5 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = iking, IP = 10.1.10.201, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 30 2019 23:03:03 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gzuyeva, IP = 10.3.10.67, Session disconnected. Session type = IPsec, Duration = 8h:45m:0s, Bytes xmt: 19551930, Bytes rcv: 3560366, Reason: Connection Lost
Oct 30 2019 22:43:43 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbunch, IP = 10.3.10.227, Session disconnected. Session type = IKE, Duration = 8h:16m:40s, Bytes xmt: 14470114, Bytes rcv: 1946716, Reason: Connection Lost
Oct 31 2019 00:35:16 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = dhale, IP = 10.3.10.241, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:51m:13s, Bytes xmt: 23177283, Bytes rcv: 3660120, Reason: Connection Lost
Oct 31 2019 01:22:37 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kpercy, IP = 10.1.10.216, Session disconnected. Session type = IPsec, Duration = 8h:51m:34s, Bytes xmt: 18967176, Bytes rcv: 941564, Reason: Connection Lost
Oct 31 2019 02:21:21 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = iking, IP = 10.1.10.201, Session disconnected. Session type = IKE, Duration = 8h:44m:18s, Bytes xmt: 20864593, Bytes rcv: 1535948, Reason: Connection Lost
Oct 31 2019 6:56:55 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 31 2019 9:44:19 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.2.10.74, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 31 2019 9:49:13 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fbryan, IP = 10.2.10.166, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 31 2019 14:38:24 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = apucci, IP = 10.3.10.53, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 31 2019 15:32:10 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session disconnected. Session type = IKE, Duration = 8h:36m:7s, Bytes xmt: 20146092, Bytes rcv: 483868, Reason: Connection Lost
Oct 31 2019 16:9:15 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = djohnson, IP = 10.3.10.180, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 31 2019 17:3:0 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ptoscani, IP = 10.1.10.38, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 31 2019 18:08:36 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.2.10.74, Session disconnected. Session type = IKE, Duration = 8h:24m:33s, Bytes xmt: 21881650, Bytes rcv: 2430085, Reason: Connection Lost
Oct 31 2019 18:56:26 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fbryan, IP = 10.2.10.166, Session disconnected. Session type = IPsec, Duration = 9h:7m:23s, Bytes xmt: 15539739, Bytes rcv: 168196, Reason: Connection Lost
Oct 31 2019 17:58:12 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cfarrell, IP = 10.1.10.107, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 01 2019 00:09:23 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = apucci, IP = 10.3.10.53, Session disconnected. Session type = IPsec, Duration = 9h:31m:20s, Bytes xmt: 4015979, Bytes rcv: 643614, Reason: Connection Lost
Nov 01 2019 01:40:34 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = djohnson, IP = 10.3.10.180, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:31m:31s, Bytes xmt: 15383292, Bytes rcv: 545131, Reason: Connection Lost
Nov 01 2019 01:11:52 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ptoscani, IP = 10.1.10.38, Session disconnected. Session type = IPsec, Duration = 8h:8m:49s, Bytes xmt: 20629038, Bytes rcv: 18451, Reason: Connection Lost
Nov 01 2019 03:55:14 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cfarrell, IP = 10.1.10.107, Session disconnected. Session type = IKE, Duration = 9h:57m:11s, Bytes xmt: 3651221, Bytes rcv: 270469, Reason: Connection Lost
Nov 01 2019 11:41:18 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = emaxwell, IP = 10.3.10.46, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 01 2019 14:41:1 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gvoronoff, IP = 10.1.10.163, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 01 2019 16:41:19 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = blu, IP = 10.1.10.100, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 01 2019 17:3:43 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = adombrowski, IP = 10.1.10.129, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 01 2019 17:49:49 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = acurry, IP = 10.1.10.252, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 01 2019 19:8:33 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = myuan, IP = 10.1.10.172, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 01 2019 21:20:27 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = emaxwell, IP = 10.3.10.46, Session disconnected. Session type = IKE, Duration = 9h:39m:24s, Bytes xmt: 846101, Bytes rcv: 20000, Reason: Connection Lost
Nov 01 2019 19:43:9 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pcallahan, IP = 10.1.10.98, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 01 2019 23:56:55 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gvoronoff, IP = 10.1.10.163, Session disconnected. Session type = SSL, Duration = 9h:15m:52s, Bytes xmt: 12531474, Bytes rcv: 2225967, Reason: Connection Lost
Nov 02 2019 00:51:18 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = blu, IP = 10.1.10.100, Session disconnected. Session type = TPsecOverNatT, Duration = 8h:10m:15s, Bytes xmt: 12787545, Bytes rcv: 1142856, Reason: Connection Lost
Nov 02 2019 03:01:47 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = adombrowski, IP = 10.1.10.129, Session disconnected. Session type = IPsec, Duration = 9h:58m:44s, Bytes xmt: 22632987, Bytes rcv: 4370927, Reason: Connection Lost
Nov 02 2019 03:49:26 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = myuan, IP = 10.1.10.172, Session disconnected. Session type = IPsec, Duration = 8h:41m:23s, Bytes xmt: 5347221, Bytes rcv: 86838, Reason: Connection Lost
Nov 02 2019 05:26:03 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pcallahan, IP = 10.1.10.98, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:43m:0s, Bytes xmt: 24064254, Bytes rcv: 2713501, Reason: Connection Lost
Nov 02 2019 13:38:25 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = acurry, IP = 10.1.10.252, Session disconnected. Session type = IPsec, Duration = 19h:49m:22s, Bytes xmt: 12529070, Bytes rcv: 1741320, Reason: Connection Lost
Nov 04 2019 6:43:27 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 04 2019 8:30:28 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.2.10.74, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 04 2019 11:4:0 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = emaxwell, IP = 10.3.10.46, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 04 2019 16:19:18 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session disconnected. Session type = IPsec, Duration = 9h:36m:15s, Bytes xmt: 23477797, Bytes rcv: 1188098, Reason: Connection Lost
Nov 04 2019 16:33:46 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.2.10.74, Session disconnected. Session type = SSL, Duration = 8h:3m:43s, Bytes xmt: 16737332, Bytes rcv: 996889, Reason: Connection Lost
Nov 04 2019 17:13:19 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cfarrell, IP = 10.1.10.107, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 04 2019 17:46:22 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kpercy, IP = 10.1.10.216, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Nov 04 2019 17:47:19 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = iking, IP = 10.1.10.201, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
